"bin","resid","model"
1.25,-0.475271277513416,"nlevels_sqrt ~ richness_sqrt"
1.35,0.943101871488706,"nlevels_sqrt ~ richness_sqrt"
1.45,0.824297636854583,"nlevels_sqrt ~ richness_sqrt"
1.55,0.11103245574357,"nlevels_sqrt ~ richness_sqrt"
1.65,-1.01729148954923,"nlevels_sqrt ~ richness_sqrt"
1.75,-0.573040728753745,"nlevels_sqrt ~ richness_sqrt"
1.85,1.11189314234636,"nlevels_sqrt ~ richness_sqrt"
1.95,-0.0431169509882365,"nlevels_sqrt ~ richness_sqrt"
2.05,-0.848089233480783,"nlevels_sqrt ~ richness_sqrt"
2.15,0.230684425575386,"nlevels_sqrt ~ richness_sqrt"
2.25,0.471276614257499,"nlevels_sqrt ~ richness_sqrt"
2.45,0.677306818863487,"nlevels_sqrt ~ richness_sqrt"
2.55,-0.469846336728582,"nlevels_sqrt ~ richness_sqrt"
2.35,-0.942936948115601,"nlevels_sqrt ~ richness_sqrt"
