"bin","resid","model"
1.25,-0.323459263775213,"nsites_sqrt ~ richness_sqrt"
1.35,-0.0948051375207682,"nsites_sqrt ~ richness_sqrt"
1.45,1.20256231734972,"nsites_sqrt ~ richness_sqrt"
1.55,0.605368857969223,"nsites_sqrt ~ richness_sqrt"
1.65,-0.556324595766611,"nsites_sqrt ~ richness_sqrt"
1.75,-0.470781164760368,"nsites_sqrt ~ richness_sqrt"
1.85,0.223471121855844,"nsites_sqrt ~ richness_sqrt"
1.95,-0.293504195920234,"nsites_sqrt ~ richness_sqrt"
2.05,-0.44182622548218,"nsites_sqrt ~ richness_sqrt"
2.15,0.154257637729738,"nsites_sqrt ~ richness_sqrt"
2.25,0.450982433723033,"nsites_sqrt ~ richness_sqrt"
2.45,0.693160380802376,"nsites_sqrt ~ richness_sqrt"
2.55,-0.18587103755449,"nsites_sqrt ~ richness_sqrt"
2.35,-0.963231128650067,"nsites_sqrt ~ richness_sqrt"
