"bin","nlevels_sqrt","totalmod_sqrt","nsites_sqrt","lithics_sqrt"
1.25,1,1,1,44.6430285710994
1.35,3.16227766016838,23.6220236220354,1.73205080756888,96.1613227862429
1.45,3,11.5758369027902,3,108.926580778064
1.55,2.64575131106459,19,2.64575131106459,45.4752680036083
1.65,1.4142135623731,10,1.4142135623731,74.9132832013122
1.75,1.73205080756888,3.46410161513775,1.4142135623731,27.6947648482525
1.85,3.60555127546399,26.4764045897475,2.23606797749979,73.5662966309981
1.95,2,7.54983443527075,1.4142135623731,67.0447611674469
2.05,1.4142135623731,1.4142135623731,1.4142135623731,0
2.15,1,1.4142135623731,1,0
2.25,1.4142135623731,4.35889894354067,1.4142135623731,51.7107338953916
2.45,1.73205080756888,2.44948974278318,1.73205080756888,0
2.55,1.4142135623731,2,1.4142135623731,13.3790881602597
3.35,1,1.73205080756888,1,0
0.05,0,0,0,0
0.15,0,0,0,0
0.25,0,0,0,0
0.35,0,0,0,0
0.45,0,0,0,0
0.55,0,0,0,0
0.65,0,0,0,0
0.75,0,0,0,0
0.85,0,0,0,0
0.95,0,0,0,0
1.05,0,0,0,0
1.15,0,0,0,0
2.35,0,0,0,0
2.65,0,0,0,0
2.75,0,0,0,0
2.85,0,0,0,0
2.95,0,0,0,0
3.05,0,0,0,0
3.15,0,0,0,0
3.25,0,0,0,0
3.45,0,0,0,0
3.55,0,0,0,0
3.65,0,0,0,0
3.75,0,0,0,0
3.85,0,0,0,0
3.95,0,0,0,0
4.05,0,0,0,0
4.15,0,0,0,0
4.25,0,0,0,0
4.35,0,0,0,0
4.45,0,0,0,0
4.55,0,0,0,0
4.65,0,0,0,0
4.75,0,0,0,0
4.85,0,0,0,0
4.95,0,0,0,0
5.05,0,0,0,0
5.15,0,0,0,0
5.25,0,0,0,0
5.35,0,0,0,0
5.45,0,0,0,0
5.55,0,0,0,0
5.65,0,0,0,0
5.75,0,0,0,0
5.85,0,0,0,0
5.95,0,0,0,0
6.05,0,0,0,0
6.15,0,0,0,0
6.25,0,0,0,0
6.35,0,0,0,0
6.45,0,0,0,0
6.55,0,0,0,0
6.65,0,0,0,0
6.75,0,0,0,0
6.85,0,0,0,0
6.95,0,0,0,0
